station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KBIS,2022-12-12 12:00:00,5,88.6,16786.0,-60.7,-85.7,M,M,M,M
KBIS,2022-12-12 12:00:00,6,84.7,17068.0,M,M,255.0,24,48.0,31.0
KBIS,2022-12-12 12:00:00,5,83.2,17178.0,-58.9,-85.9,M,M,M,M
KBIS,2022-12-12 12:00:00,6,80.6,17373.0,M,M,275.0,34,49.0,32.0
KBIS,2022-12-12 12:00:00,5,78.0,17580.0,-60.3,-88.3,M,M,M,M
KBIS,2022-12-12 12:00:00,6,76.8,17678.0,M,M,320.0,13,50.0,32.0
KBIS,2022-12-12 12:00:00,5,71.6,18113.0,-59.3,-89.3,M,M,M,M
KBIS,2022-12-12 12:00:00,4,70.0,18260.0,-58.5,-88.5,275.0,15,50.0,32.0
KBIS,2022-12-12 12:00:00,6,69.7,18288.0,M,M,300.0,23,50.0,32.0
KBIS,2022-12-12 12:00:00,6,66.4,18592.0,M,M,275.0,15,51.0,32.0
KBIS,2022-12-12 12:00:00,5,65.4,18687.0,-57.1,-87.1,M,M,M,M
KBIS,2022-12-12 12:00:00,6,60.3,19202.0,M,M,325.0,19,52.0,32.0
KBIS,2022-12-12 12:00:00,6,57.4,19507.0,M,M,305.0,14,52.0,32.0
KBIS,2022-12-12 12:00:00,6,54.7,19812.0,M,M,320.0,16,53.0,33.0
KBIS,2022-12-12 12:00:00,4,50.0,20380.0,-59.3,-88.3,320.0,20,54.0,33.0
KBIS,2022-12-12 12:00:00,6,49.7,20421.0,M,M,295.0,11,54.0,33.0
KBIS,2022-12-12 12:00:00,6,42.8,21336.0,M,M,330.0,22,55.0,33.0
KBIS,2022-12-12 12:00:00,5,37.4,22171.0,-64.5,-92.5,M,M,M,M
KBIS,2022-12-12 12:00:00,6,36.9,22250.0,M,M,340.0,22,57.0,33.0
KBIS,2022-12-12 12:00:00,6,31.8,23164.0,M,M,315.0,31,59.0,33.0
KBIS,2022-12-12 12:00:00,5,30.7,23378.0,-63.1,-91.1,M,M,M,M
KBIS,2022-12-12 12:00:00,6,30.2,23469.0,M,M,320.0,34,60.0,33.0
KBIS,2022-12-12 12:00:00,4,30.0,23520.0,-63.5,-91.5,325.0,23,60.0,33.0
KBIS,2022-12-12 12:00:00,6,26.0,24384.0,M,M,340.0,19,62.0,33.0
KBIS,2022-12-12 12:00:00,6,23.5,24993.0,M,M,325.0,29,64.0,33.0
KBIS,2022-12-12 12:00:00,6,22.4,25298.0,M,M,335.0,23,64.0,33.0
KBIS,2022-12-12 12:00:00,6,21.3,25603.0,M,M,300.0,16,65.0,33.0
KBIS,2022-12-12 12:00:00,6,20.2,25908.0,M,M,285.0,22,65.0,33.0
KBIS,2022-12-12 12:00:00,4,20.0,25970.0,-70.7,-96.7,310.0,27,65.0,33.0
KBIS,2022-12-12 12:00:00,5,18.5,26430.0,-71.5,-97.5,M,M,M,M
KBIS,2022-12-12 12:00:00,6,17.3,26822.0,M,M,340.0,37,68.0,34.0
KBIS,2022-12-12 12:00:00,6,15.6,27432.0,M,M,320.0,40,70.0,34.0
KBIS,2022-12-12 12:00:00,5,14.4,27910.0,-70.1,-96.1,M,M,M,M
KBIS,2022-12-12 12:00:00,6,12.7,28651.0,M,M,310.0,30,73.0,35.0
KBIS,2022-12-12 12:00:00,4,10.0,30080.0,-70.9,M,290.0,36,76.0,37.0
KBIS,2022-12-12 12:00:00,6,9.3,30486.0,M,M,285.0,37,77.0,37.0
KBIS,2022-12-12 12:00:00,5,9.1,30636.0,-71.7,M,M,M,M,M
KBIS,2022-12-12 12:00:00,5,8.9,30767.0,-71.5,M,M,M,M,M
KBIS,2022-12-12 12:00:00,6,8.8,30790.0,M,M,285.0,41,77.0,38.0

